vector,nivel,nivel_nome,melhor_referencia
"(1, 3, 3, 1, 5)",3,Estruturação,NEUTRO
"(1, 3, 3, 2, 1)",3,Estruturação,NEUTRO
"(1, 3, 3, 2, 2)",3,Estruturação,NEUTRO
"(1, 3, 3, 2, 3)",3,Estruturação,NEUTRO
"(1, 3, 3, 2, 4)",3,Estruturação,NEUTRO
"(1, 3, 3, 2, 5)",3,Estruturação,NEUTRO
"(1, 3, 3, 3, 1)",3,Estruturação,NEUTRO
"(1, 3, 3, 3, 2)",3,Estruturação,NEUTRO
"(1, 3, 3, 3, 3)",2,Reconhecimento,NEUTRO
"(1, 3, 3, 3, 4)",3,Estruturação,NEUTRO
"(1, 3, 3, 3, 5)",3,Estruturação,NEUTRO
"(1, 3, 3, 4, 1)",3,Estruturação,NEUTRO
"(1, 3, 3, 4, 2)",3,Estruturação,NEUTRO
"(1, 3, 3, 4, 3)",2,Reconhecimento,NEUTRO
"(1, 3, 3, 4, 4)",3,Estruturação,NEUTRO
"(1, 3, 3, 4, 5)",3,Estruturação,NEUTRO
"(1, 3, 3, 5, 1)",3,Estruturação,NEUTRO
"(1, 3, 3, 5, 2)",3,Estruturação,NEUTRO
"(1, 3, 3, 5, 3)",3,Estruturação,NEUTRO
"(1, 3, 3, 5, 4)",3,Estruturação,NEUTRO
"(1, 3, 3, 5, 5)",3,Estruturação,NEUTRO
"(1, 3, 4, 1, 1)",3,Estruturação,NEUTRO
"(1, 3, 4, 1, 2)",3,Estruturação,NEUTRO
"(1, 3, 4, 1, 3)",3,Estruturação,NEUTRO
"(1, 3, 4, 1, 4)",3,Estruturação,NEUTRO
"(1, 3, 4, 1, 5)",3,Estruturação,NEUTRO
"(1, 3, 4, 2, 1)",3,Estruturação,NEUTRO
"(1, 3, 4, 2, 2)",3,Estruturação,NEUTRO
"(1, 3, 4, 2, 3)",3,Estruturação,NEUTRO
"(1, 3, 4, 2, 4)",3,Estruturação,NEUTRO
"(1, 3, 4, 2, 5)",3,Estruturação,NEUTRO
